Customer Identity,First Policy´s Year,Brithday Year,Educational Degree,Gross Monthly Salary,Geographic Living Area,Has Children (Y=1),Customer Monetary Value,Claims Rate,Premiums in LOB: Motor,Premiums in LOB: Household,Premiums in LOB: Health,Premiums in LOB:  Life,Premiums in LOB: Work Compensations
1,1985,1982,2 - High School,2177,1,1,380.97,0.39,375.85,79.45,146.36,47.01,16.89
2,1981,1995,2 - High School,677,4,1,-131.13,1.12,77.46,416.20,116.69,194.48,106.13
3,1991,1970,1 - Basic,2277,3,0,504.67,0.28,206.15,224.50,124.58,86.35,99.02
4,1990,1981,3 - BSc/MSc,1099,4,1,-16.99,0.99,182.48,43.35,311.17,35.34,28.34
5,1986,1973,3 - BSc/MSc,1763,4,1,35.23,0.90,338.62,47.80,182.59,18.78,41.45
6,1986,1956,2 - High School,2566,4,1,-24.33,1.00,440.75,18.90,114.80,7.00,7.67
7,1979,1943,2 - High School,4103,4,0,-66.01,1.05,156.92,295.60,317.95,14.67,26.34
8,1988,1974,2 - High School,1743,4,1,-144.91,1.13,248.27,397.30,144.36,66.68,53.23
9,1981,1978,3 - BSc/MSc,1862,1,1,356.53,0.36,344.51,18.35,210.04,8.78,9.89
10,1976,1948,3 - BSc/MSc,3842,1,0,-119.35,1.12,209.26,182.25,271.94,39.23,55.12
11,1990,1945,3 - BSc/MSc,3995,4,0,290.17,0.53,296.50,116.70,227.71,18.67,10.89
12,1985,1958,3 - BSc/MSc,2834,3,1,405.74,0.46,249.49,216.70,252.38,36.34,35.45
13,1981,1949,3 - BSc/MSc,3757,1,0,2.34,0.97,206.04,340.05,257.05,43.12,15.78
14,1983,2000,1 - Basic,1043,3,1,-75.12,1.06,44.34,342.85,127.69,267.94,94.46
15,1983,1975,2 - High School,1981,1,1,-89.00,1.12,504.43,-70.00,72.79,10.89,16.89
16,1988,1979,3 - BSc/MSc,974,4,1,290.06,0.53,318.06,93.90,247.49,-3.00,19.67
