Premiums in LOB: Motor,Premiums in LOB: Household,Premiums in LOB: Health,Premiums in LOB:  Life,Premiums in LOB: Work Compensations
375.85,79.45,146.36,47.01,16.89
77.46,416.2,116.69,194.48,106.13
206.15,224.5,124.58,86.35,99.02
182.48,43.35,311.17,35.34,28.34
338.62,47.8,182.59,18.78,41.45
440.75,18.9,114.8,7.0,7.67
156.92,295.6,317.95,14.67,26.34
248.27,397.3,144.36,66.68,53.23
344.51,18.35,210.04,8.78,9.89
209.26,182.25,271.94,39.23,55.12
296.5,116.7,227.71,18.67,10.89
249.49,216.7,252.38,36.34,35.45
206.04,340.05,257.05,43.12,15.78
504.43,-70.0,72.79,10.89,16.89
318.06,93.9,247.49,-3.0,19.67
119.8,647.35,168.92,125.58,37.23
446.64,107.8,86.35,3.89,27.56
313.17,373.4,121.8,14.78,72.57
402.41,9.45,125.69,24.45,30.56
329.84,65.0,221.93,3.89,33.34
407.52,111.7,100.13,24.67,30.34
209.04,308.95,192.48,64.79,54.9
222.04,329.5,248.38,48.01,33.56
420.3,128.35,135.58,15.67,4.78
383.74,103.9,154.14,17.56,15.78
330.84,162.8,228.82,-5.0,22.78
449.75,58.9,112.91,17.78,9.78
301.28,18.9,258.05,-4.0,-0.11
524.21,25.0,54.9,7.0,-5.0
483.09,-15.0,92.24,3.89,-5.11
320.95,335.05,146.25,46.12,9.67
473.09,19.45,89.24,4.78,7.89
373.96,19.45,179.7,22.56,10.89
320.84,123.35,131.58,40.23,72.68
241.49,190.6,125.8,111.8,65.79
320.95,-25.55,145.25,26.56,84.35
495.87,68.9,68.57,3.0,9.78
104.02,142.8,357.18,53.01,40.23
334.84,63.35,207.04,17.67,5.78
52.01,455.65,135.47,146.36,148.03
265.05,270.6,130.47,108.02,25.34
323.84,383.4,168.92,3.0,25.56
159.14,249.5,284.61,52.01,23.34
111.8,-35.0,208.26,224.71,44.23
139.58,540.1,180.59,106.13,75.79
269.94,300.6,143.25,59.79,69.9
254.38,265.6,209.04,72.68,22.78
468.09,-45.55,92.24,1.89,14.89
396.74,18.9,166.92,16.78,3.89
435.75,102.25,105.02,4.78,9.89
360.4,-40.55,212.04,12.78,10.89
177.59,236.7,295.61,44.12,30.45
305.17,157.25,227.6,12.89,2.78
559.66,44.45,17.56,-1.11,10.89
569.55,30.0,36.45,6.0,10.0
207.93,452.3,155.25,69.68,62.68
286.61,260.05,168.92,72.68,16.78
341.73,249.5,84.35,52.9,51.12
278.83,246.15,217.82,30.34,5.78
304.17,249.5,165.81,36.34,15.78
464.2,-25.55,89.24,3.89,8.78
364.18,343.95,86.46,23.45,48.12
452.53,-45.55,104.91,17.78,-4.11
276.83,175.6,261.27,6.89,-6.11
366.07,78.35,165.81,16.56,7.89
152.03,530.65,202.26,32.34,97.35
330.73,186.7,211.15,0.0,15.78
384.63,-40.55,151.03,20.56,17.89
183.48,108.9,252.38,65.68,79.68
150.03,236.7,286.61,70.79,33.23
213.15,217.25,242.6,56.9,59.9
246.49,264.5,223.71,51.12,20.78
436.75,65.0,140.47,12.89,0.89
289.5,211.7,217.82,22.67,29.67
183.48,471.75,190.37,43.12,73.68
290.61,99.45,180.59,51.9,50.01
429.86,-6.1,141.47,6.89,-3.11
342.73,83.35,150.25,48.12,30.23
355.51,304.5,136.58,39.34,21.67
368.07,-25.55,163.81,29.56,17.78
463.31,-65.0,104.02,0.89,5.78
291.39,132.25,209.93,30.56,5.67
238.49,221.7,244.49,22.67,64.01
399.63,344.5,114.91,7.0,8.67
326.06,307.85,166.81,7.89,5.78
581.33,55.0,17.67,-6.0,-1.0
